"date","album","artist","index"
1985-01-05,"New Edition","New Edition",0
1985-02-09,"Solid","Ashford",0
1985-03-09,"Gap Band VI","Gap Band",0
1985-03-23,"Private Dancer","Tina Turner",357
1985-04-06,"Nightshift","Commodores",0
1985-04-27,"Can t Stop The Love","Maze Featuring Frankie Beverly",0
1985-05-04,"The Night I Fell In Love","Luther Vandross",422
1985-06-22,"Whitney Houston","Whitney Houston",0
1985-06-29,"Rock Me Tonight","Freddie Jackson",0
1985-11-09,"In Square Circle","Stevie Wonder",0
1986-02-01,"Promise","Sade",0
1986-04-19,"Control","Janet Jackson",443
1986-06-14,"Winner In You","Patti LaBelle",0
1986-08-09,"Love Zone","Billy Ocean",0
1986-08-16,"Raising Hell","Run-D.M.C.",437
1986-10-25,"Word Up","Cameo",0
1986-11-29,"Give Me The Reason","Luther Vandross",0
1986-12-06,"Just Like The First Time","Freddie Jackson",0
1987-06-06,"Jody Watley","Jody Watley",0
1987-07-04,"One Heartbeat","Smokey Robinson",0
1987-07-11,"Bigger","LL Cool J",0
1987-09-05,"If I Were Your Woman","Stephanie Mills",0
1987-10-03,"Bad","Michael Jackson",0
1987-12-19,"Characters","Stevie Wonder",490
1988-02-27,"All Our Love","Gladys Knight",0
1988-03-19,"Make It Last Forever","Keith Sweat",0
1988-04-30,"The Hardline According To Terence Trent D Arby","Terence Trent D Arby",0
1988-05-07,"The Hardline According To Terence Trent D'Arby","Terence Trent D'Arby",0
1988-05-21,"Faith","George Michael",504
1988-07-02,"In Effect Mode","Al B. Sure!",0
1988-08-20,"Strictly Business","EPMD",0
1988-09-10,"Don't Be Cruel","Bobby Brown",0
1988-09-17,"Don t Be Cruel","Bobby Brown",0
1988-09-24,"It Takes A Nation Of Millions To Hold Us Back","Public Enemy",513
1988-10-15,"Don t Let Love Slip Away","Freddie Jackson",0
1988-11-19,"Giving You The Best That I Got","Anita Baker",0
1988-11-26,"Any Love","Luther Vandross",0
1989-01-28,"Karyn White","Karyn White",0
1989-02-25,"Heart Break","New Edition",0
1989-04-08,"Let's Get It Started","M.C. Hammer",0
1989-04-15,"Guy","Guy",0
1989-05-13,"The Great Adventures Of Slick Rick","Slick Rick",0
1989-05-27,"3 Feet High And Rising","De La Soul",553
1989-07-22,"Walking With A Panther","LL Cool J",0
1989-08-26,"Big Tyme","Heavy D",0
1989-09-02,"Keep On Movin","Soul II Soul",0
1989-09-16,"Unfinished Business","EPMD",0
1989-09-30,"No One Can Do It Better","The D.O.C.",0
1989-10-14,"Tender Lover","Babyface",0
1989-11-11,"Silky Soul","Maze Featuring Frankie Beverly",0
1989-11-18,"Janet Jackson s Rhythm Nation 1814","Janet Jackson",0
1989-12-02,"Stay With Me","Regina Belle",0
1990-01-27,"Back On The Block","Quincy Jones",590
1990-04-28,"Please Hammer Don t Hurt Em","M.C. Hammer",0
1990-06-02,"Poison","Bell Biv Devoe",0
1990-06-30,"Johnny Gill","Johnny Gill",0
1990-08-25,"I ll Give All My Love To You","Keith Sweat",0
1990-12-22,"I m Your Baby Tonight","Whitney Houston",0
1991-02-02,"The Future","Guy",626
1991-02-23,"Do Me Again","Freddie Jackson",0
1991-03-23,"Business As Usual","EPMD",0
1991-04-06,"Ralph Tresvant","Ralph Tresvant",0
1991-04-20,"Hi-Five","Hi-Five",0
1991-04-27,"New Jack City","Soundtrack",0
1991-06-22,"Power Of Love","Luther Vandross",0
1991-07-06,"Make Time For Love","Keith Washington",0
1991-08-03,"Music From Jungle Fever","Stevie Wonder",0
1991-08-24,"Cooleyhighharmony","Boyz II Men",0
1991-09-07,"Boyz N The Hood","Soundtrack",0
1991-10-05,"Can You Stop The Rain","Peabo Bryson",0
1991-10-19,"Good Woman","Gladys Knight",0
1991-10-26,"Different Lifestyles","BeBe",0
1991-11-09,"As Raw As Ever","Shabba Ranks",0
1991-11-16,"Forever My Lady","Jodeci",0
1991-11-23,"Apocalypse 91. . .The Enemy Strikes Black","Public Enemy",0
1991-12-07,"Diamonds","Prince And The N.P.G.",0
1991-12-14,"Death Certificate","Ice Cube",648
1992-01-04,"Dangerous","Michael Jackson",0
1992-02-01,"Keep It Comin","Keith Sweat",0
1992-04-18,"Private Line","Gerald Levert",0
1992-05-02,"The Comfort Zone","Vanessa Williams",0
1992-05-09,"Funky Divas","En Vogue",693
1992-05-23,"Totally Krossed Out","Kris Kross",0
1992-06-20,"Dead Serious","Das EFX",0
1992-08-08,"Boomerang","Soundtrack",0
1992-10-03,"What s The 411?","Mary J. Blige",0
1992-11-07,"Bobby","Bobby Brown",0
1992-12-05,"The Predator","Ice Cube",712
1992-12-12,"The Bodyguard","Whitney Houston",0
1993-02-06,"The Chronic","Dr. Dre",718
1993-03-13,"19 Naughty III","Naughty By Nature",0
1993-03-27,"Till Death Do Us Part","Geto Boys",0
1993-04-10,"Lose Control","Silk",0
1993-04-17,"14 Shots To The Dome","LL Cool J",0
1993-05-22,"Down With The King","Run-D.M.C.",0
1993-05-29,"Fever For Da Flavor","H-Town",0
1993-06-05,"janet.","Janet Jackson",0
1993-06-26,"Menace II Society","Soundtrack",0
1993-08-07,"Black Sunday","Cypress Hill",741
1993-09-04,"The World Is Yours","Scarface",0
1993-09-18,"Music Box","Mariah Carey",0
1993-10-02,"Toni Braxton","Toni Braxton",0
1993-10-16,"187 He Wrote","Spice 1",0
1993-11-06,"It s On (Dr. Dre 187um) Killa (EP)","Eazy-E",0
1993-11-13,"Get In Where You Fit In","Too Short",0
1993-11-27,"Midnight Marauders","A Tribe Called Quest",733
1993-12-04,"Shock Of The Hour","MC Ren",0
1993-12-11,"Doggy Style","Snoop Doggy Dogg",0
1993-12-25,"Lethal Injection","Ice Cube",0
1994-01-22,"Diary Of A Mad Band","Jodeci",0
1994-02-05,"12 Play","R. Kelly",0
1994-04-09,"Above The Rim","Soundtrack",0
1994-06-11,"Nuttin But Love","Heavy D",0
1994-06-25,"Regulate...G Funk Era","Warren G",0
1994-07-16,"Get Up On It","Keith Sweat",0
1994-07-30,"Funkdafied","Da Brat",0
1994-08-06,"We Come Strapped","MC Eiht Featuring CMW",0
1994-09-10,"Changing Faces","Changing Faces",0
1994-09-17,"II","Boyz II Men",0
1994-10-01,"Rhythm Of Love","Anita Baker",0
1994-10-29,"Jason s Lyric","Soundtrack",0
1994-11-05,"Murder Was The Case","Soundtrack",0
1994-11-26,"The Icon Is Love","Barry White",0
1994-12-03,"Tical","Method Man",0
1994-12-10,"Dare Iz A Darkside","Redman",0
1994-12-17,"My Life","Mary J. Blige",770
1994-12-24,"Miracles -- The Holiday Album","Kenny G",0
1995-02-11,"Cocktails","Too Short",0
1995-03-11,"Safe + Sound","DJ Quik",0
1995-04-01,"Me Against The World","2Pac",0
1995-04-29,"Friday","Soundtrack",0
